"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"ALDH2"	9.4308867865718e-17	-1.40808546169593	0.017	0.265	1.19517628246224e-12	"0"	"ALDH2"
"ODF3B"	1.1082540524537e-16	-1.44695760638604	0.027	0.29	1.40449036067457e-12	"0"	"ODF3B"
"HLA-DMB"	1.43194542585162e-16	-1.7527141523948	0.061	0.361	1.81470443818176e-12	"0"	"HLA-DMB"
"APOBEC3A"	1.44378912172801e-16	-1.53304085760106	0.02	0.271	1.82971395396591e-12	"0"	"APOBEC3A"
"IRF8"	1.94215731414202e-16	-1.39424986006831	0.02	0.271	2.46129596421218e-12	"0"	"IRF8"
"HCK"	2.02469992441133e-16	-1.17420037674232	0.027	0.29	2.56590221420647e-12	"0"	"HCK"
"RNF130"	1.01875966166857e-15	-1.37792862103028	0.051	0.329	1.29107411923258e-11	"0"	"RNF130"
"EVL"	1.49740680190178e-15	1.20686239665663	0.684	0.31	1.89766364005012e-11	"0"	"EVL"
"CTSH"	1.58520491343137e-15	-1.33764927956487	0.057	0.335	2.00893018679158e-11	"0"	"CTSH"
"MPEG1"	1.63924228112761e-15	-1.06716744408167	0.01	0.232	2.07741174287302e-11	"0"	"MPEG1"
"ATP6V0B"	1.75498452250484e-15	-1.68607297676806	0.182	0.51	2.22409188537039e-11	"0"	"ATP6V0B"
"SMCO4"	2.31644581198559e-15	-1.00455594725151	0.017	0.252	2.93563177752933e-11	"0"	"SMCO4"
"NUP214"	2.70603211436032e-15	-1.30345340088426	0.027	0.271	3.42935449852884e-11	"0"	"NUP214"
"ASGR1"	4.12693982992282e-15	-1.08514005860702	0.003	0.206	5.2300708464612e-11	"0"	"ASGR1"
"TNFSF13B"	5.11135723150138e-15	-1.34055120378581	0.044	0.303	6.4776230194817e-11	"0"	"TNFSF13B"
"CALM1"	5.39158258409601e-15	1.19753238026713	0.754	0.497	6.83275260882487e-11	"0"	"CALM1"
"LYL1"	8.7007999978373e-15	-1.156141354457	0.013	0.232	1.10265238372592e-10	"0"	"LYL1"
"BANK1"	1.0790401714095e-14	-1.23638227682716	0.027	0.265	1.36746760922726e-10	"0"	"BANK1"
"CSF3R"	1.31586967405194e-14	-1.32784781881287	0.027	0.265	1.66760163792602e-10	"0"	"CSF3R"
"RBP7"	1.46425533851401e-14	-1.53463948473976	0	0.187	1.85565079049881e-10	"0"	"RBP7"
"CD79B"	1.77752456347299e-14	-2.31541311165737	0.125	0.406	2.25265687928932e-10	"0"	"CD79B"
"LINC00926"	2.5696963358533e-14	-1.73433487236106	0.01	0.213	3.25657616642688e-10	"0"	"LINC00926"
"LAT"	3.42116287424042e-14	1.46633929829306	0.337	0.019	4.33563971052489e-10	"0"	"LAT"
"SCPEP1"	3.56328856310457e-14	-1.35349868796994	0.037	0.284	4.51575559602243e-10	"0"	"SCPEP1"
"CAPG"	5.00522417629513e-14	-1.23649749602956	0.074	0.348	6.34312059861882e-10	"0"	"CAPG"
"GIMAP5"	5.54825375468578e-14	1.44579195204876	0.411	0.077	7.03130198331329e-10	"0"	"GIMAP5"
"GZMM"	1.13147340323591e-13	1.62808708132758	0.33	0.019	1.43391624392087e-09	"0"	"GZMM"
"S100A12"	1.3225521176814e-13	-1.36690562799257	0	0.174	1.67607029873763e-09	"0"	"S100A12"
"LGALS9"	1.75595847601517e-13	-1.12038776499104	0.054	0.31	2.22532617665402e-09	"0"	"LGALS9"
"STX11"	2.073881515007e-13	-1.56633432814479	0.034	0.265	2.62823004396837e-09	"0"	"STX11"
"VPREB3"	2.63231605754138e-13	-1.38916283247634	0.003	0.181	3.33593413972219e-09	"0"	"VPREB3"
"CPVL"	5.25902091497375e-13	-1.1154558836527	0.013	0.206	6.66475720554624e-09	"0"	"CPVL"
"GZMA"	1.28783815998964e-12	2.38986331645558	0.3	0.019	1.63207730015487e-08	"0"	"GZMA"
"EAF2"	1.48374566401271e-12	-1.09858058957389	0.013	0.2	1.8803508800033e-08	"0"	"EAF2"
"PRKCQ-AS1"	1.56813413752654e-12	1.34162299185305	0.279	0.006	1.98729639248739e-08	"0"	"PRKCQ-AS1"
"NCF1"	2.06893949439966e-12	-1.27346078881516	0.057	0.29	2.62196702125269e-08	"0"	"NCF1"
"CD3G"	2.10754282227291e-12	1.38948824356561	0.323	0.032	2.67088901866645e-08	"0"	"CD3G"
"S100A11"	3.89354056935383e-12	-1.33736299940011	0.451	0.639	4.93428396354211e-08	"0"	"S100A11"
"APLP2"	4.89167515604226e-12	-1.06293772904878	0.077	0.329	6.19921992525236e-08	"0"	"APLP2"
"TSPO"	5.2574202346017e-12	-1.46178485578954	0.367	0.6	6.66272866331073e-08	"0"	"TSPO"
"RAB32"	6.07082152367205e-12	-1.28385015646578	0.007	0.174	7.69355211694959e-08	"0"	"RAB32"
"KLF4"	7.656031495099e-12	-1.10690399494861	0.03	0.232	9.70248871373897e-08	"0"	"KLF4"
"CST7"	8.37251108358445e-12	2.69974529342537	0.293	0.026	1.06104832962266e-07	"0"	"CST7"
"YBX3"	1.0916805120653e-11	-1.01977634482195	0.034	0.239	1.38348671294035e-07	"0"	"YBX3"
"BLVRA"	1.20879988732003e-11	-1.19706366595822	0.081	0.329	1.53191209720067e-07	"0"	"BLVRA"
"CEBPB"	1.40752396002049e-11	-1.4391156881745	0.178	0.452	1.78375511453397e-07	"0"	"CEBPB"
"RAC1"	1.51795955977728e-11	-1.11639495868967	0.296	0.561	1.92371015010574e-07	"0"	"RAC1"
"AGTRAP"	1.67139831984014e-11	-1.01716219256899	0.04	0.252	2.11816309073341e-07	"0"	"AGTRAP"
"TRAT1"	2.51637285247565e-11	1.16733339729108	0.266	0.013	3.18899931594239e-07	"0"	"TRAT1"
"CNPY3"	2.85683050631706e-11	-1.11614102091425	0.162	0.432	3.62046130065561e-07	"0"	"CNPY3"
"AP2S1"	3.71345761468693e-11	-1.24303747743451	0.219	0.477	4.70606483509274e-07	"0"	"AP2S1"
"CCL5"	4.26384619610873e-11	3.32047730712885	0.407	0.129	5.40357228432859e-07	"0"	"CCL5"
"PIK3IP1"	7.92079350101436e-11	1.27708545351569	0.35	0.071	1.00380216038355e-06	"0"	"PIK3IP1"
"RGS2"	8.08540667356157e-11	-1.28697452214319	0.152	0.413	1.02466358774046e-06	"0"	"RGS2"
"RP11-290F20.3"	1.06171840723606e-10	-1.07008909378106	0.024	0.2	1.34551573749026e-06	"0"	"RP11-290F20.3"
"ANXA2"	1.3102268878042e-10	-1.18408753821362	0.303	0.581	1.66045053491426e-06	"0"	"ANXA2"
"PLBD1"	1.98432960962848e-10	-1.53013253675271	0.017	0.181	2.51474091428217e-06	"0"	"PLBD1"
"S100A6"	2.5594078823791e-10	-1.60333815882873	0.741	0.723	3.24353760933903e-06	"0"	"S100A6"
"NKG7"	4.09625358520296e-10	3.94589930274963	0.384	0.129	5.19118216852772e-06	"0"	"NKG7"
"GIMAP4"	8.67270811633882e-10	1.08267136046603	0.542	0.252	1.09909229958362e-05	"0"	"GIMAP4"
"TALDO1"	1.03616834662566e-09	-1.58201894620322	0.273	0.523	1.3131361456787e-05	"0"	"TALDO1"
"SPOCK2"	1.14476348305212e-09	1.0197977647253	0.266	0.032	1.45075876207195e-05	"0"	"SPOCK2"
"C1orf162"	1.27988658990594e-09	-1.02021640316961	0.269	0.542	1.6220002753878e-05	"0"	"C1orf162"
"LINC00936"	2.87726034206146e-09	-1.16878559597745	0.158	0.394	3.64635203149449e-05	"0"	"LINC00936"
"AQP3"	3.83999612860495e-09	1.18026531802313	0.232	0.019	4.86642709378105e-05	"0"	"AQP3"
"FCER2"	8.79690485584297e-09	-1.17527511631805	0.007	0.129	0.000111483175238098	"0"	"FCER2"
