"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"HLA-DPB1.1"	2.31346897553018e-32	2.84610057541487	0.983	0.423	2.9318592326894e-28	"2"	"HLA-DPB1"
"FCRLA"	3.10790297209358e-31	1.70923678325273	0.35	0.003	3.93864543653419e-27	"2"	"FCRLA"
"HLA-DRB1.2"	1.79388996571111e-30	2.36590896193703	0.95	0.316	2.27339675354569e-26	"2"	"HLA-DRB1"
"PKIG"	7.89743860016904e-30	1.81184573823355	0.333	0.003	1.00084239379942e-25	"2"	"PKIG"
"HLA-DPA1.2"	5.06502836947429e-29	2.40063088475219	0.967	0.375	6.41891045263476e-25	"2"	"HLA-DPA1"
"FCER2.1"	2.98889769669021e-28	2.11755783227102	0.333	0.005	3.78783005101551e-24	"2"	"FCER2"
"TSPAN13"	4.83931692736547e-28	1.70430859792365	0.317	0.003	6.13286634205026e-24	"2"	"TSPAN13"
"CD37.1"	3.54171650278449e-27	1.93695801602667	0.983	0.724	4.48841732397878e-23	"2"	"CD37"
"PDLIM1"	8.16069401754384e-25	1.7000202051875	0.367	0.018	1.03420475284333e-20	"2"	"PDLIM1"
"SPIB"	1.32966630339969e-23	1.6756966501401	0.283	0.005	1.68508610629842e-19	"2"	"SPIB"
"HLA-DMA.2"	2.18500557441238e-23	1.96325425249072	0.717	0.166	2.7690575644528e-19	"2"	"HLA-DMA"
"CD72"	2.97532563534925e-22	1.5882107242674	0.233	0	3.7706301776781e-18	"2"	"CD72"
"HLA-DRB5.2"	3.25707836851283e-22	2.10686495339113	0.767	0.217	4.12769541641631e-18	"2"	"HLA-DRB5"
"KIAA0125"	4.89683516841072e-22	1.49724283735241	0.25	0.003	6.2057592089269e-18	"2"	"KIAA0125"
"S100A4.2"	4.24686913736277e-21	-3.41388934642534	0.3	0.849	5.38205725777984e-17	"2"	"S100A4"
"SWAP70"	4.46749476108888e-21	1.68470320335268	0.283	0.01	5.66165611072794e-17	"2"	"SWAP70"
"EAF2.1"	4.62442336101974e-20	1.63086562959273	0.367	0.033	5.86053172542031e-16	"2"	"EAF2"
"BLNK"	2.68198914143753e-19	1.23833281610474	0.25	0.008	3.39888483894378e-15	"2"	"BLNK"
"HLA-DOB"	4.68813440924617e-19	1.38598489119425	0.233	0.005	5.94127273683767e-15	"2"	"HLA-DOB"
"PPAPDC1B"	4.77414627988041e-19	1.70853268816059	0.333	0.028	6.05027558049245e-15	"2"	"PPAPDC1B"
"P2RX5"	5.32388363870759e-19	1.486275795438	0.283	0.015	6.74695773533413e-15	"2"	"P2RX5"
"IRF8.1"	3.86440983155098e-18	1.83151020935847	0.417	0.059	4.89736657952456e-14	"2"	"IRF8"
"IGLL5.1"	4.30497797623064e-18	3.11373920455388	0.25	0.01	5.45569858927708e-14	"2"	"IGLL5"
"GNG7"	4.66602118640168e-17	1.52009622864154	0.283	0.02	5.91324864952685e-13	"2"	"GNG7"
"CYB561A3"	5.43474805260575e-17	1.53574886005464	0.367	0.046	6.88745620706727e-13	"2"	"CYB561A3"
"FCRL1"	6.08455257396162e-17	1.35191530591898	0.25	0.013	7.71095347698157e-13	"2"	"FCRL1"
"HVCN1"	6.43992677012202e-17	1.66515900713166	0.4	0.059	8.16131919577563e-13	"2"	"HVCN1"
"S100A6.2"	9.37272301376386e-17	-2.89223621897526	0.283	0.804	1.18780518753429e-12	"2"	"S100A6"
"ARHGAP24"	4.12452507566105e-16	1.24986387268189	0.2	0.005	5.22701062838525e-12	"2"	"ARHGAP24"
"BLK"	4.37235930028333e-16	1.19846333939687	0.2	0.005	5.54109094124906e-12	"2"	"BLK"
"TLR10"	4.91971082251161e-16	1.01646357801524	0.183	0.003	6.23474952536897e-12	"2"	"TLR10"
"PLEKHF2"	9.79627057098266e-16	1.56114829067984	0.35	0.046	1.24148136946063e-11	"2"	"PLEKHF2"
"CD40"	1.2606180091489e-15	1.34411540928351	0.267	0.02	1.5975812029944e-11	"2"	"CD40"
"PNOC"	4.33078774776675e-15	1.21414265119351	0.217	0.01	5.4884073127448e-11	"2"	"PNOC"
"RP5-887A10.1"	1.03944146189282e-14	1.12204372082123	0.15	0	1.31728416465677e-10	"2"	"RP5-887A10.1"
"RALGPS2"	1.15061910473519e-14	1.16186129754027	0.183	0.005	1.45817959143091e-10	"2"	"RALGPS2"
"CD3D.2"	1.41026328206709e-14	-2.94365855883719	0.05	0.61	1.78722665736363e-10	"2"	"CD3D"
"MARCH1"	3.52868661289854e-14	1.55949847691521	0.283	0.031	4.47190454452632e-10	"2"	"MARCH1"
"ANXA1"	6.95825585583893e-14	-2.17692554383415	0.133	0.679	8.81819764610468e-10	"2"	"ANXA1"
"HLA-DMB.1"	1.03122264032546e-13	2.1621402405559	0.483	0.115	1.30686845208445e-09	"2"	"HLA-DMB"
"HCST"	3.78114063438791e-13	-2.33289032337643	0.05	0.582	4.79183952595979e-09	"2"	"HCST"
"BCL7A"	4.64735989535692e-13	1.04645856859336	0.15	0.003	5.88959919538582e-09	"2"	"BCL7A"
"MEF2C"	4.69151714176275e-13	1.39740900187628	0.283	0.036	5.94555967375593e-09	"2"	"MEF2C"
"IL32.2"	5.02714161420794e-13	-2.66037671011196	0.117	0.638	6.37089656768572e-09	"2"	"IL32"
"GIMAP7.2"	2.15980912105668e-12	-2.16864268559623	0.05	0.582	2.73712609911513e-08	"2"	"GIMAP7"
"SNX22"	2.45311965532699e-12	1.19407876754134	0.183	0.01	3.10883853919589e-08	"2"	"SNX22"
"ISG20.1"	3.26274055791207e-12	1.20512339638828	0.767	0.388	4.13487110904196e-08	"2"	"ISG20"
"TPD52"	9.79713795450308e-12	1.21178861436031	0.25	0.031	1.24159129297418e-07	"2"	"TPD52"
"C16orf74.1"	1.22249078073449e-11	2.02262727573538	0.233	0.026	1.54926256642482e-07	"2"	"C16orf74"
"S100A10.1"	1.23789200804396e-11	-1.88355098647211	0.233	0.691	1.56878054179411e-07	"2"	"S100A10"
"SRGN"	1.4535980564573e-11	-2.18822355016668	0.2	0.661	1.84214481694834e-07	"2"	"SRGN"
"PLD4"	4.62397424921695e-11	1.01165405610218	0.2	0.018	5.85996256603265e-07	"2"	"PLD4"
"GIMAP4.1"	1.27003101187667e-10	-1.93794236764827	0.033	0.505	1.6095103013513e-06	"2"	"GIMAP4"
"CD3E.2"	1.32658644492272e-10	-1.94877098559311	0.117	0.571	1.68118300165057e-06	"2"	"CD3E"
"S100A11.2"	3.34422758483737e-10	-2.28591422019972	0.133	0.574	4.2381396182644e-06	"2"	"S100A11"
"LDHB.2"	1.40948958217955e-09	-1.64720988974008	0.367	0.74	1.78624614749615e-05	"2"	"LDHB"
"ADAM28"	2.07113551245543e-09	1.10651851538651	0.167	0.015	2.62475003493477e-05	"2"	"ADAM28"
"QRSL1"	2.17246140140326e-09	1.0802925695331	0.233	0.036	2.75316033399836e-05	"2"	"QRSL1"
"RGS10"	2.32797609956416e-09	-1.96699411428409	0.017	0.436	2.95024411097766e-05	"2"	"RGS10"
"SMIM14"	3.17872355037815e-09	1.2038511586359	0.283	0.059	4.02839635539423e-05	"2"	"SMIM14"
"GGA2"	3.98926018602307e-09	1.01085541712949	0.2	0.026	5.05558943374703e-05	"2"	"GGA2"
"IGJ"	4.14163089364602e-09	1.18044424023683	0.133	0.008	5.2486888315176e-05	"2"	"IGJ"
"CXCR4.1"	6.7080785194388e-09	1.35304437756955	0.8	0.574	8.50114790768479e-05	"2"	"CXCR4"
"LY86.2"	7.35017161222881e-09	1.19519730554325	0.4	0.117	9.31487248417758e-05	"2"	"LY86"
"BACE2"	9.58299405446606e-09	2.46027391043054	0.083	0	0.000121445283652248	"2"	"BACE2"
"CXXC5"	1.45638120326418e-08	1.0510388909747	0.233	0.041	0.000184567189889669	"2"	"CXXC5"
"CD2.2"	1.7552509436018e-08	-2.05505954419557	0.017	0.393	0.000222442952082656	"2"	"CD2"
"IL7R.2"	2.73059849292319e-08	-1.93683741553526	0.067	0.452	0.000346048747008156	"2"	"IL7R"
"LCK.2"	4.79935588653932e-08	-1.59312135121624	0.033	0.418	0.000608222371501128	"2"	"LCK"
"EIF4A1"	4.99539394223104e-08	-1.2523723529656	0.317	0.704	0.00063306627429894	"2"	"EIF4A1"
"BTK"	6.29005114447409e-08	1.06520015367422	0.2	0.033	0.000797138181539202	"2"	"BTK"
"SYPL1"	8.54690761894649e-08	1.16420789689937	0.333	0.099	0.00108314960254909	"2"	"SYPL1"
"LGALS1.2"	1.57414825422203e-07	-2.61941991585539	0.133	0.49	0.00199491808257558	"2"	"LGALS1"
"IFITM1.2"	1.72307876764091e-07	-1.59638850739942	0.133	0.503	0.00218365772223132	"2"	"IFITM1"
"RARRES3.2"	2.52592324140473e-07	-1.60725242498583	0.15	0.495	0.00320110252383222	"2"	"RARRES3"
"FYB"	2.73621465986456e-07	-1.63974763511902	0.05	0.395	0.00346760483844636	"2"	"FYB"
"AIF1.2"	5.00234242384014e-07	-2.57085151341029	0.05	0.38	0.00633946855373261	"2"	"AIF1"
"CD7.2"	5.74519477792819e-07	-1.60342746194017	0.067	0.411	0.0072808853420684	"2"	"CD7"
"NOSIP"	5.98349430021194e-07	-1.58802064168052	0.117	0.462	0.00758288232665859	"2"	"NOSIP"
"GIMAP1"	9.50859224839062e-07	-1.37439211669646	0.033	0.355	0.0120502389563854	"2"	"GIMAP1"
"TIMP1.2"	1.1815295704754e-06	-1.72869499989184	0.017	0.327	0.0149735242466347	"2"	"TIMP1"
"RNASE6.1"	1.20727947683821e-06	1.08885000155796	0.267	0.074	0.0152998528099706	"2"	"RNASE6"
"FCER1G.2"	1.86143939769217e-06	-2.38501692500703	0.067	0.372	0.0235900214869529	"2"	"FCER1G"
"IFI6.1"	1.97774201765976e-06	-1.7415267967034	0.067	0.383	0.0250639245898021	"2"	"IFI6"
"NKG7.2"	2.16949165634692e-06	-3.91656102433692	0.033	0.337	0.0274939677608845	"2"	"NKG7"
"TYROBP.2"	2.20387957623876e-06	-3.08231056579166	0.1	0.403	0.0279297658696738	"2"	"TYROBP"
"CTSW.2"	2.77609683652475e-06	-2.12896550898692	0.05	0.362	0.0351814752092782	"2"	"CTSW"
"NCF1.1"	3.47457455674907e-06	1.10835073954211	0.317	0.11	0.0440332833576809	"2"	"NCF1"
"CD247.2"	3.62135931134477e-06	-1.80221030912875	0.017	0.298	0.0458934865526723	"2"	"CD247"
"LAT2.1"	6.37624987993399e-06	2.1427611950053	0.217	0.056	0.0808062147284034	"2"	"LAT2"
"MT2A"	9.96972336203755e-06	-1.56357103992843	0.033	0.306	0.126346304167102	"2"	"MT2A"
"CD3G.2"	1.03791608718432e-05	-1.39576510999259	0	0.258	0.131535105728869	"2"	"CD3G"
"EMP3"	1.10050146394372e-05	-1.00075094872673	0.533	0.786	0.139466550525588	"2"	"EMP3"
"GIMAP5.2"	1.15816251069219e-05	-1.31280615641363	0.05	0.334	0.146773934980021	"2"	"GIMAP5"
"ADK"	1.16187487970693e-05	1.03974568838477	0.25	0.077	0.147244403505259	"2"	"ADK"
"RAC1.2"	1.17175206449612e-05	-1.44112478374056	0.133	0.426	0.148496139133593	"2"	"RAC1"
"VIM.1"	1.19653889755547e-05	-1.07262538074426	0.617	0.796	0.151637374487205	"2"	"VIM"
"SNHG7"	1.37948464674071e-05	1.13223686156875	0.45	0.219	0.17482208928145	"2"	"SNHG7"
"ARPC1B.1"	1.48193853986713e-05	-1.0854910035479	0.467	0.742	0.187806071157361	"2"	"ARPC1B"
"ZFP36L2"	1.5659988535407e-05	-1.02988215642538	0.417	0.686	0.198459034709213	"2"	"ZFP36L2"
"ID2"	1.59205423998433e-05	-1.41689017211868	0.1	0.388	0.201761033833214	"2"	"ID2"
"CTSD.1"	1.70443427082937e-05	-1.3935630607263	0	0.247	0.216002955142206	"2"	"CTSD"
"ITGB2"	2.05836530150228e-05	-1.0729899891419	0.183	0.497	0.260856634659384	"2"	"ITGB2"
"TSPO.2"	2.55799880297628e-05	-1.30813282436161	0.2	0.485	0.324175188301184	"2"	"TSPO"
"GZMA.2"	3.13485257361702e-05	-2.16478806649219	0	0.235	0.397279866654485	"2"	"GZMA"
"FCN1.2"	3.17714088591684e-05	-2.57833728448709	0.05	0.298	0.402639064472241	"2"	"FCN1"
"DOK2"	3.86490455460215e-05	-1.24481993635211	0.017	0.253	0.48979935420473	"2"	"DOK2"
"LAT.2"	4.63885104953767e-05	-1.12673732553244	0.017	0.26	0.587881593507909	"2"	"LAT"
"SNX2"	5.19723381558095e-05	1.0616425531415	0.333	0.148	0.658645441448574	"2"	"SNX2"
"ANXA2.2"	5.51309773764022e-05	-1.35343606458107	0.183	0.431	0.698674876291144	"2"	"ANXA2"
"GZMM.2"	5.70005149653967e-05	-1.29258590787701	0.017	0.255	0.722367526156472	"2"	"GZMM"
"CALM3"	5.79836871159491e-05	-1.18416474516284	0.1	0.37	0.734827266820423	"2"	"CALM3"
"LGALS3.2"	7.05299304724699e-05	-1.50026483588548	0.033	0.27	0.89382580887761	"2"	"LGALS3"
"GLRX"	7.36247407398521e-05	-1.2135082732423	0.117	0.383	0.933046339396146	"2"	"GLRX"
"PRKCQ-AS1.2"	8.11566125148966e-05	-1.14251022862973	0	0.214	1	"2"	"PRKCQ-AS1"
"SAMHD1.1"	8.66968783520686e-05	-1.26675240120023	0.033	0.265	1	"2"	"SAMHD1"
"AMICA1.1"	9.09808106593602e-05	-1.13649970455519	0.033	0.27	1	"2"	"AMICA1"
"LYZ.2"	9.31556228779444e-05	-3.52715314527077	0.4	0.63	1	"2"	"LYZ"
"LGALS2.2"	0.000106425572223767	-2.0174850361074	0.017	0.235	1	"2"	"LGALS2"
"FYN"	0.000129213301254092	-1.07819770917255	0	0.204	1	"2"	"FYN"
"CSTB.1"	0.00016512552056922	-1.00631724795534	0.117	0.37	1	"2"	"CSTB"
"CD63"	0.000169951621134615	-1.10784070742949	0.133	0.372	1	"2"	"CD63"
"VAMP8"	0.000182461209646726	-1.22130569476944	0.267	0.5	1	"2"	"VAMP8"
"S100A8.2"	0.00021368827743805	-3.78884843428603	0.067	0.278	1	"2"	"S100A8"
"CST3.2"	0.000247230883512352	-3.02064924417138	0.167	0.383	1	"2"	"CST3"
"PRKCB"	0.000255959991737961	1.42417073831568	0.267	0.112	1	"2"	"PRKCB"
"CEBPD.2"	0.000256161633399351	-1.39618463119378	0.033	0.242	1	"2"	"CEBPD"
"CFD.2"	0.000271715893009648	-1.5758712960271	0.033	0.237	1	"2"	"CFD"
"SNX3"	0.000298124508517943	1.02413735319048	0.617	0.434	1	"2"	"SNX3"
"BIRC3"	0.000310137242107341	1.04095986141457	0.267	0.11	1	"2"	"BIRC3"
"CST7.2"	0.000362290393010765	-2.3144716907465	0.033	0.227	1	"2"	"CST7"
"IFITM3.2"	0.00036319880271712	-1.51812950231872	0.017	0.209	1	"2"	"IFITM3"
"RAP1B"	0.000366854150744898	-1.0437009820901	0.15	0.375	1	"2"	"RAP1B"
"TYMP.2"	0.000369125749169636	-1.6046427868947	0.117	0.339	1	"2"	"TYMP"
"LST1.2"	0.000420904586724173	-2.03502090543381	0.117	0.327	1	"2"	"LST1"
"TALDO1.2"	0.000454857482787225	-1.33021066757379	0.15	0.39	1	"2"	"TALDO1"
"MYO1F"	0.000487383518688715	-1.01793883357991	0.05	0.258	1	"2"	"MYO1F"
"SEPW1"	0.000496137769035226	-1.23885964248395	0.05	0.247	1	"2"	"SEPW1"
"CD14.2"	0.000501344244346079	-1.37908689177726	0	0.173	1	"2"	"CD14"
"WDR1"	0.00061974025380807	-1.11356405596589	0.05	0.258	1	"2"	"WDR1"
"CTSC"	0.000706797531330003	-1.0935074654392	0.05	0.242	1	"2"	"CTSC"
"RGCC"	0.000783900800515082	-1.00286062939784	0.067	0.268	1	"2"	"RGCC"
"ARL4C.1"	0.000822010352092179	-1.01427078937225	0.033	0.222	1	"2"	"ARL4C"
"CORO1B"	0.000867746985748039	-1.07040231615593	0	0.161	1	"2"	"CORO1B"
"BLVRB.2"	0.000963854830202645	-1.0103500005215	0.017	0.186	1	"2"	"BLVRB"
"ISG15.1"	0.00098844388306264	-1.14436026986084	0.2	0.426	1	"2"	"ISG15"
"MAP3K8"	0.00101601163334655	2.41942752101643	0.117	0.028	1	"2"	"MAP3K8"
"GSTP1.2"	0.0010755129080164	-1.50332355996838	0.267	0.464	1	"2"	"GSTP1"
"CCL3.1"	0.00107797556458854	-1.76301826175271	0	0.156	1	"2"	"CCL3"
"H2AFY.1"	0.00120187860973206	-1.03985399413722	0.1	0.293	1	"2"	"H2AFY"
"GZMB.2"	0.00148874091122733	-2.67026093044939	0	0.148	1	"2"	"GZMB"
"CCL5.2"	0.00153624474493969	-2.73529943443083	0.15	0.337	1	"2"	"CCL5"
"S100A9.2"	0.00169482466087819	-3.99566976152919	0.167	0.347	1	"2"	"S100A9"
"BRI3.2"	0.00172416403213326	-1.00522518345973	0.033	0.196	1	"2"	"BRI3"
"GIMAP2"	0.00197193818363098	-1.1466232277849	0.033	0.202	1	"2"	"GIMAP2"
"ARRB2.1"	0.00202888492453102	-1.18350741389979	0.067	0.235	1	"2"	"ARRB2"
"TNFSF10.1"	0.00207173376244379	-1.00933144890059	0.033	0.199	1	"2"	"TNFSF10"
"STX11.2"	0.00312679378593607	-1.10838618773823	0	0.13	1	"2"	"STX11"
"SERPINA1.2"	0.00324321941721757	-1.09423021624468	0.067	0.23	1	"2"	"SERPINA1"
"COTL1.2"	0.00390961997806512	-1.15539605885552	0.433	0.617	1	"2"	"COTL1"
"PRF1.2"	0.00415883181624554	-1.5260660040753	0.05	0.199	1	"2"	"PRF1"
"CD8B.2"	0.00436203522440042	-1.33478837732458	0.017	0.148	1	"2"	"CD8B"
"FGFBP2.2"	0.00526635473275376	-1.70408659915879	0	0.117	1	"2"	"FGFBP2"
"GZMH.2"	0.00640745373542238	-1.57499410324151	0.017	0.143	1	"2"	"GZMH"
"FCGR3A"	0.00658321163779711	-1.46823032812415	0.033	0.163	1	"2"	"FCGR3A"
"CDA.2"	0.00669904412962137	-1.14720424146896	0.017	0.143	1	"2"	"CDA"
"PSAP.2"	0.00678332524171577	-1.16756650875664	0.333	0.5	1	"2"	"PSAP"
"MS4A6A.2"	0.00686341203180275	-1.36324510308575	0.033	0.163	1	"2"	"MS4A6A"
"SPON2.2"	0.00795542234142439	-1.05712650563202	0	0.107	1	"2"	"SPON2"
